Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,16:00:00,13.32
1,06/02/2023,17:00:00,13.39
3,06/02/2023,16:00:00,000.0
3,06/02/2023,17:00:00,000.0
4,06/02/2023,16:00:00,28.890
4,06/02/2023,17:00:00,27.900
6,06/02/2023,16:00:00,004.928
6,06/02/2023,17:00:00,004.954
7,06/02/2023,16:00:00,176
7,06/02/2023,17:00:00,177
8,06/02/2023,16:00:00,0999.000
8,06/02/2023,17:00:00,1004.250
9,06/02/2023,16:00:00,015
9,06/02/2023,17:00:00,017
10,06/02/2023,16:00:00,021.087
10,06/02/2023,17:00:00,012.980
50,06/02/2023,16:00:00,000.0
50,06/02/2023,17:00:00,000.0
